bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
2343,Solomon's Song (The Potato Factory  #3),4.01,4.01,140271570,9780140271577,3.94,671,3920,132,999187200,3.97
11777,Black Girl/White Girl,3.71,3.23,61125644,9780061125645,3.94,288,2662,290,1161014400,3.82
36216,Fergus and the Night-Demon,3.84,3.69,618339558,9780618339556,3.92,32,81,18,1158508800,3.83
29868,La toile de Charlotte,4.09,4.17,221102288X,9782211022880,3.98,192,13,0,859824000,4.0
10967,The Fiery Cross (Outlander  #5),4.1,4.27,440221668,9780440221661,3.94,1443,128901,5294,1125331200,3.86
12315,The Birth of Tragedy,4.0,3.98,486285154,9780486285153,3.94,92,210,20,801936000,3.94
29256,Journey of Awakening: A Meditator's Guidebook,4.12,4.17,553285726,9780553285727,3.92,448,898,52,646758000,3.91
43594,The Campfire Collection: Spine-tingling Tales to Tell in the Dark,3.76,3.22,811824543,9780811824545,3.92,176,50,6,951840000,3.94
36348,Monte Cook Presents The Year's Best D20 (Volume One),4.01,4.2,1588467988,9781588467980,3.94,96,5,1,1124035200,4.01
37743,Forever . . .,3.86,3.62,033039780X,9780330397803,3.94,178,45863,2952,1117728000,3.82
15862,Estado De Miedo,3.76,3.7,9685959757,9789685959759,3.94,685,2,0,1120060800,3.85
43087,Interesting Times: A Twentieth-Century Life,3.88,4.06,1565849655,9781565849655,3.94,448,374,24,1116172800,3.95
40710,Blowback (Scot Harvath  #4),3.94,4.18,1416505415,9781416505419,3.94,575,13546,371,1149091200,3.91
16799,The Best American Science Writing 2002,3.88,3.85,60936509,9780060936501,3.94,352,67,7,1030982400,3.94
31722,Me Alquilo Para Soñar (Taller de Guión  #62),3.95,3.83,1400092965,9781400092963,3.94,224,141,17,1078156800,3.87
11286,Carrion Comfort,3.9,3.9,446359203,9780446359207,3.94,884,15742,714,654710400,3.91
33363,Mama Day,4.0,4.17,679721819,9780679721819,3.94,312,8922,559,609260400,3.9
40424,Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,3.95,4.14,517659573,9780517659571,3.94,848,29,1,596822400,3.96
6764,Easy French Reader,3.9,3.85,71428488,9780071428484,3.94,228,297,33,1063728000,3.96
29589,Eastern Standard Tribe,3.71,3.48,765310457,9780765310453,3.92,223,3213,213,1112284800,3.84
27425,The Georgics of Virgil,3.92,3.85,374530319,9780374530310,3.94,224,85,12,1146499200,3.9
17202,To Sail Beyond the Sunset,3.93,3.87,399132678,9780399132674,3.94,416,98,6,552582000,3.94
6480,Waverley,3.8,3.43,192836013,9780192836014,3.94,463,69,8,903542400,3.92
24312,The Best Is Yet to Come (The Amazing Days of Abby Hayes Super Special  #1),3.95,4.05,1417629754,9781417629756,3.94,144,460,17,1086019200,3.96
7592,A Portrait of the Artist as a Young Man,3.81,3.61,451530152,9780451530158,3.94,256,419,46,1149523200,3.87
22265,Neptune Noir: Unauthorized Investigations into Veronica Mars,3.81,3.63,1933771135,9781933771137,3.94,224,925,112,1176134400,3.78
36667,Killing the Imposter God: Philip Pullman's Spiritual Imagination in His Dark Materials,3.81,3.67,787982377,9780787982379,3.93,224,42,12,1188576000,3.97
18728,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,4.01,4.18,684804484,9780684804484,3.94,633,37093,1171,812476800,3.96
45382,Schmidt Delivered (Schmidt  #2),3.79,3.61,345440838,9780345440839,3.92,320,107,12,1004371200,3.88
4436,Running with Scissors,3.86,3.72,1843544857,9781843544852,3.93,320,667,70,1162569600,4.01
7104,1919 (U.S.A.  #2),3.93,4.0,618056823,9780618056828,3.92,400,2185,137,959184000,3.94
12474,The Armies of the Night: History as a Novel  the Novel as History,3.71,3.66,452272793,9780452272798,3.94,304,2500,188,788889600,3.93
6544,The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),3.86,4.16,074325581X,9780743255813,3.94,672,30,2,1068480000,3.85
16478,The Fourth Book of Lost Swords: Farslayer's Story (Lost Swords  #4),3.79,3.84,812552849,9780812552843,3.92,252,1784,8,637430400,3.84
33538,World War One British Poets: Brooke  Owen  Sassoon  Rosenberg and Others,3.69,4.02,486295680,9780486295688,3.94,71,469,40,861638400,3.95
21683,Prayers for Rain (Kenzie & Gennaro  #5),3.97,4.09,380730367,9780380730360,3.94,375,16329,619,957196800,3.95
17905,Plays 5: Arcadia / The Real Thing / Night and Day / Indian Ink / Hapgood,3.93,4.29,571197515,9780571197514,3.92,608,572,33,975600000,4.05
251,Nexus (The Rosy Crucifixion  #3),3.92,4.1,802151787,9780802151780,3.94,316,3261,58,758390400,3.77
4583,Everything Is Illuminated,3.93,3.9,60792175,9780060792176,3.94,276,1764,191,1124726400,3.94
35880,At the Edge (Psychic Triplet Trilogy  #1),3.94,3.79,61140503,9780061140501,3.92,384,273,21,1180368000,3.87
28689,Stone of Farewell (Memory  Sorrow  and Thorn  #2),3.95,4.09,756402972,9780756402976,3.94,608,37694,414,1112284800,4.01
8088,Sunshine,3.92,3.85,515138819,9780515138818,3.94,405,31047,3519,1101744000,3.89
14657,Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown  #22),4.0,4.08,553485210,9780553485219,3.92,96,403,6,1060272000,3.9
36190,Whirlpool,3.84,3.78,60511133,9780060511135,3.94,448,1143,63,1162224000,3.87
13228,Cumbres borrascosas,3.96,3.85,8497644743,9788497644747,3.94,384,156,28,1148745600,4.02
6419,Plum Lovin' (Stephanie Plum  #12.5),3.94,3.72,312306342,9780312306342,3.94,164,47315,1446,1168272000,4.01
15890,An Instance of the Fingerpost,3.83,3.94,1573220825,9781573220828,3.94,691,214,24,889977600,3.83
18383,Jane Eyre,4.07,4.12,3717519646,9783717519645,3.94,784,432,26,983376000,3.99
33458,The Lust Lizard of Melancholy Cove (Pine Cove  #2),3.93,3.87,60735457,9780060735456,3.92,304,29113,1203,1085414400,3.75
40260,The Great Ape Project: Equality Beyond Humanity,3.97,4.05,031211818X,9780312118181,3.92,312,86,11,787420800,3.92
43283,Unspeakable Truths and Happy Endings: Human Cruelty and the New Trauma Therapy,4.03,4.25,1886968055,9781886968059,3.92,226,12,0,1112284800,4.03
21544,The Concrete Blonde (Harry Bosch  #3),4.11,4.16,1596009209,9781596009202,3.92,12,132,28,1116950400,4.1
22028,Omerta,3.85,3.71,345432401,9780345432407,3.94,369,12374,330,988646400,3.88
31502,The Scarlet Pimpernel,3.99,4.07,743487745,9780743487740,3.92,358,348,67,1088611200,3.9
21284,The Lighthouse Land (Lighthouse Trilogy #1),3.91,3.6,081095480X,9780810954809,3.94,387,861,114,1159632000,3.99
24881,The Beasties,3.75,3.83,141306394,9780141306391,3.94,208,846,90,938707200,4.02
16047,A Thread of Grace,3.98,4.02,449004139,9780449004135,3.94,442,11782,1332,1133798400,3.88
32097,The Age of Grief,3.74,3.81,385721870,9780385721875,3.94,224,1389,123,1023724800,3.88
16842,A Single Man,3.99,4.1,816638624,9780816638628,3.94,192,17451,1029,985017600,4.0
23240,Aphrodite's Secret (Superhero Central #3),3.66,3.7,505525097,9780505525093,3.94,369,410,20,1052150400,3.79
14756,Goodnight Nobody,3.76,3.65,743470125,9780743470124,3.92,400,54117,1849,1146499200,3.84
33490,The Call of Cthulhu and Other Weird Stories,4.14,4.22,141187069,9780141187068,3.93,420,809,74,1027526400,3.91
17178,The Sound and the Fury: An Authoritative Text  Backgrounds and Contexts  Criticism,3.92,3.86,393964817,9780393964813,3.94,446,1020,126,756057600,3.96
35481,1635: The Cannon Law (Assiti Shards  #8),3.89,3.76,1416509380,9781416509387,3.94,420,1336,35,1159200000,3.91
23984,Life Amongst the Modocs,4.05,4.32,930588797,9780930588793,3.94,456,19,6,852048000,4.05
2103,The Nature of Space and Time,4.07,4.09,691050848,9780691050843,3.94,152,989,40,970934400,4.13
